Mass/Charge	Area	Height	Width	Width at 50%	Resolution	Charge	Monoisotopic	Mass (charge)	Mass/charge (charge)
55.057430499271	0.0153535018172002	2.64705882352973	0.00937763044262141	0.0046887166301488	11742.5374238331	0	Yes	*54.0496	*55.0574
64.1272384732163	0.00926062451153554	2.88235294117476	0.00449801761989477	0.00393576541739549	16293.4605273433	0	Yes	*63.1194	*64.1272
67.0530513412492	0.0254660030238441	5.58823529411765	0.00919889645534511	0.00491126830310407	13652.8992518836	0	Yes	*66.0452	*67.0531
69.0680766100832	0.0111209256363802	4.11764705882353	0.00350103597889984	0.00294289745073684	23469.4133133284	0	Yes	*68.0602	*69.0681
77.0370555923232	0.0137386856460782	3.88235294117476	0.00616248127940366	0.00451912993361248	17046.877767186	0	Yes	*76.0292	*77.0371
78.0451920558495	0.00229863178073534	2.47058823530097	0.00124053143721881	0.00124053143721881	62912.7079849116	0	Yes	*77.0374	*78.0452
79.05299198956	0.0547876823747674	11.4117647058824	0.0112365671741941	0.00370814830735355	21318.7244514443	1	Yes	*78.0452 (1)	*79.0530 (1)
80.0598170847164	0.0320769848587639	4.11764705882353	0.0188472523560108	0.00296660209916411	26987.0425519063	1	No	79.0520 (1)	80.0598 (1)
81.0681391955451	0.0668981866639973	15.7647058823529	0.0113791596003239	0.00406170599811162	19959.1352090071	0	Yes	*80.0603	*81.0681
83.0837518570037	0.0216083613935824	5.35294117647059	0.00639969166265075	0.00391316050860269	21231.879365631	0	Yes	*82.0759	*83.0838
91.054059673208	0.0480406265879388	9.82352941176471	0.0107194879694248	0.00383250002801105	23758.3976536752	1	Yes	*90.0462 (1)	*91.0541 (1)
91.0616430593851	0.0111929006719744	5.7058823529369	0.00267999030174337	0.00249960633912849	36430.3937119693	0	Yes	*90.0538	*91.0616
92.0577878295861	0.014107144840276	2.88235294117476	0.00943120882293158	0.00235775907209756	39044.6118600606	1	No	91.0500 (1)	92.0578 (1)
93.0679372304287	0.0791290922234953	14.2352941176471	0.0176108439962661	0.00546678017121849	17024.2691887288	1	Yes	*92.0601 (1)	*93.0679 (1)
94.0766785211707	0.065817299962891	9.88235294117647	0.0217921689882559	0.00975019744323902	9648.69471298813	1	No	93.0688 (1)	94.0767 (1)
95.0850838625459	0.0640738556584877	14.1764705882353	0.00958490261609768	0.00319331777230047	29776.2673941611	1	Yes	*94.0773 (1)	*95.0851 (1)
97.0635416209387	0.0166014152185548	4.35294117647059	0.00553381657516638	0.00415035257223906	23386.8183320566	0	Yes	*96.0557	*97.0635
97.0995072220037	0.0117208008339494	4.29411764705882	0.00415111665392942	0.00303269416438923	32017.5731407981	0	Yes	*96.0917	*97.0995
99.0856996766244	0.00431667485249444	2.47058823530097	0.00279555888504035	0.00139778437204541	70887.6860109905	0	Yes	*98.0779	*99.0857
104.060129645612	0.0104905164993008	2.64705882352941	0.00429731751728468	0.00429731751728468	24215.136355892	0	Yes	*103.0523	*104.0601
105.067584188204	0.0487689374402348	7.11764705882353	0.0115149216236006	0.00466025181911789	22545.4735637208	1	Yes	*104.0598 (1)	*105.0676 (1)
105.085700176798	0.00508052656399061	2.82352941176214	0.00287896702475621	0.00287896702475621	36501.1822897473	0	Yes	*104.0779	*105.0857
106.075336474773	0.0232251583520755	5.35294117647059	0.0101238315928356	0.00238628933834661	44452.0011761311	1	No	105.0675 (1)	106.0753 (1)
