Mass/Charge	Area	Height	Width	Width at 50%	Resolution	Charge	Monoisotopic	Mass (charge)	Mass/charge (charge)
41.0486022516223	0.00633520294012887	4.08333333332848	0.00269902574630265	0.000881672081824547	46557.6750107315	0	Yes	*40.0408	*41.0486
41.1713900456867	0.0015767781635514	1.75	0.00090101609345794	0.00090101609345794	45694.4002938707	0	Yes	*40.1636	*41.1714
41.4611241601392	0.00188371016935918	2.08333333333333	0.000904180881292405	0.000904180881292405	45854.9002948128	1	No	40.4533 (1)	41.4611 (1)
42.1406653579581	0.00379816856967234	2.08333333333333	0.00182312091344272	0.00182312091344272	23114.5751481623	0	Yes	*41.1328	*42.1407
43.0182539297514	0.0435180426066851	9.91666666666667	0.0110523029140168	0.00417044671830524	10315.023026414	0	Yes	*42.0104	*43.0183
43.0539763712439	0.0949799031614719	24.4166666666667	0.011056798687413	0.00367690218406125	11709.3069698388	0	Yes	*42.0461	*43.0540
43.0624997917939	0.00276445108021051	4	0.000921483693403502	0.000921483693403502	46731.700300352	0	Yes	*42.0547	*43.0625
43.5909192573215	0.00193148597773529	2.08333333333333	0.00092711326931294	0.00092711326931294	47017.9002934837	0	Yes	*42.5831	*43.5909
45.0242399586946	0.00392596782994303	2.08333333333333	0.00188446455837266	0.00188446455837266	23892.3251480917	0	Yes	*44.0164	*45.0242
45.0346051102445	0.00329819255456165	1.75	0.00188468145974952	0.00188468145974952	23895.0751477281	0	Yes	*44.0268	*45.0346
45.0454426785204	0.00196344606271381	2.08333333333333	0.000942454110102631	0.000942454110102631	47795.900294408	0	Yes	*44.0376	*45.0454
45.2534710263143	0.00905263826783067	2.08333333333303	0.00472311561799899	0.00472311561799899	9581.27530350117	0	Yes	*44.2456	*45.2535
45.8610255370349	0.00792456474777067	2.08333333333333	0.00380379107892992	0.00380379107892992	12056.6625730498	0	Yes	*44.8532	*45.8610
46.2837404835575	0.00167181053152987	1.75	0.000955320303731355	0.000955320303731355	48448.4002933669	0	Yes	*45.2759	*46.2837
46.3831471449897	0.00996193391202086	2.08333333333333	0.00478172827777001	0.00478172827777001	9700.08006532331	0	Yes	*45.3753	*46.3831
46.6791286018627	0.00599620083492347	2.08333333333333	0.00287817640076327	0.00287817640076327	16218.3000977577	0	Yes	*45.6713	*46.6791
48.6749260063281	0.00342890519428352	1.75	0.00195937439673344	0.00195937439673344	24842.0751478004	0	Yes	*47.6671	*48.6749
51.0226498952858	0.0105317500218494	1.75	0.00601814286962821	0.00601814286962821	8478.1386883954	2	Yes	*100.0296 (2)	*51.0226 (2)
51.5262247129473	0.00352790587100849	1.75	0.00201594621200485	0.00201594621200485	25559.3251477204	2	No	101.0368 (2)	51.5262 (2)
52.0471448338214	0.00633159686844742	2.08333333333333	0.00303916649685476	0.00303916649685476	17125.4667645505	0	Yes	*51.0393	*52.0471
52.0998370493409	0.00177374430600885	1.75	0.0010135681748622	0.0010135681748622	51402.4002938176	0	Yes	*51.0920	*52.0998
53.3201412956562	0.00213618662510129	2.08333333333333	0.00102536958004862	0.00102536958004862	52000.900293071	0	Yes	*52.3123	*53.3201
54.0452542937945	0.00795745610826367	4.08333333333333	0.00309696084699596	0.00191494446176677	28222.8834166456	0	Yes	*53.0374	*54.0453
54.4239665417755	0.0021581848583659	2.08333333333333	0.00103592873201563	0.00103592873201563	52536.4002945273	0	Yes	*53.4161	*54.4240
55.0173779873755	0.0996864764475038	26.4166666666667	0.0104157309666775	0.00216835492018674	25372.8656112429	0	Yes	*54.0095	*55.0174
55.0277196751706	0.0407120256396123	12.0833333333333	0.00833345237872862	0.00216021642432196	25473.2438174303	0	Yes	*54.0199	*55.0277
55.0538380580036	0.220278077072927	54.9166666666667	0.0177130278528495	0.00258266846154243	21316.6493794268	0	Yes	*54.0460	*55.0538
55.0940401047974	0.00799091157996889	2.08333333333303	0.00416917125911453	0.00416917125911453	13214.626284385	3	Yes	*162.2586 (3)	*55.0940 (3)
55.4308419525904	0.00365913611622659	1.75	0.00209093492355805	0.00209093492355805	26510.0751477555	3	No	163.2690 (3)	55.4308 (3)
55.5045719078177	0.00183078443102325	1.75	0.00104616253201328	0.00104616253201328	53055.4002933006	0	Yes	*54.4967	*55.5046
55.6359429464087	0.00837919884487803	2	0.00418959942243902	0.00418959942243902	13279.5375730742	3	Yes	*163.8843 (3)	*55.6359 (3)
55.8561143136794	0.00437279282322992	2.08333333333333	0.00209894055515036	0.00209894055515036	26611.5751475763	0	Yes	*54.8483	*55.8561
55.96216109832	0.00437694188311077	2.08333333333333	0.00210093210389317	0.00210093210389317	26636.8251475706	0	Yes	*54.9543	*55.9622
55.972666251797	0.0043773526811286	2.08333333333333	0.00210112928694173	0.00210112928694173	26639.3251475102	3	No	164.8945 (3)	55.9727 (3)
56.0540586963469	0.00201504672822121	2.08333333333212	0.00105132872776892	0.00105132872776892	53317.3471016075	0	Yes	*55.0462	*56.0541
56.3852450904164	0.00421771772448665	2	0.00210885886224332	0.00210885886224332	26737.3251477038	0	Yes	*55.3774	*56.3852
57.0326150745993	0.137153950457146	34.4166666666667	0.0116652582309271	0.00365378622120005	15609.1822624115	0	Yes	*56.0248	*57.0326
57.042742237221	0.0169690680538253	4	0.0053028337668195	0.0053028337668195	10757.0300608223	1	Yes	*56.0349 (1)	*57.0427 (1)
57.0692093762625	0.336277083505241	81.5	0.0190947269113835	0.00337998603558276	16884.4512301137	0	Yes	*56.0614	*57.0692
57.090212131591	0.00636600333632487	2	0.00318300166816243	0.00318300166816243	17935.9667645256	0	Yes	*56.0824	*57.0902
57.7584646267346	0.00186758618139571	1.75	0.00106719210365469	0.00106719210365469	54121.9002923052	0	Yes	*56.7506	*57.7585
57.8006264082532	0.00373653539053187	1.75	0.00213516308030393	0.00213516308030393	27070.8251474757	0	Yes	*56.7928	*57.8006
58.0410732577414	0.00820177296506229	4.16666666665697	0.00320938475945098	0.00184448249895297	31467.4025319778	3	Yes	*171.0997 (3)	*58.0411 (3)
58.0480357198175	0.00222888319558005	2.08333333333333	0.00106986393387842	0.00106986393387842	54257.4002933105	1	No	57.0402 (1)	58.0480 (1)
58.2096975730976	0.0056246014957555	1.75	0.00321405799757457	0.00321405799757457	18110.9667644531	0	Yes	*57.2019	*58.2097
58.2675649916978	0.00187579885513678	1.75	0.00107188506007816	0.00107188506007816	54359.9002932731	0	Yes	*57.2597	*58.2676
58.3742663579789	0.00751006232002283	1.75	0.00429146418287019	0.00429146418287019	13602.412573076	3	No	172.0993 (3)	58.3743 (3)
58.4622745234839	0.00447364373418561	2.08333333333333	0.00214734899240909	0.00214734899240909	27225.3251474953	0	Yes	*57.4544	*58.4623
59.0494308542978	0.00566502648455192	1.75	0.00323715799117252	0.00323715799117252	18241.1334310284	1	No	58.0416 (1)	59.0494 (1)
59.0580635911005	0.00674457210584715	2.08333333333333	0.00323739461080663	0.00323739461080663	18242.4667644657	0	Yes	*58.0502	*59.0581
59.2840943068432	0.00621685457350374	2.08333333333394	0.00324357629921934	0.00324357629921934	18277.3854652692	0	Yes	*58.2763	*59.2841
60.0185877670023	0.00380755086375828	1.75	0.00217574335071902	0.00217574335071902	27585.3251474573	0	Yes	*59.0108	*60.0186
61.0282950995332	0.0127983454551792	2.08333333333333	0.00658200750169868	0.00658200750169868	9271.98808019939	0	Yes	*60.0205	*61.0283
61.8358302319599	0.00460090895703461	2.08333333333333	0.00220843629937661	0.00220843629937661	27999.8251475103	0	Yes	*60.8280	*61.8358
63.3148363034673	0.00586606445684268	1.75	0.00335203683248153	0.00335203683248153	18888.4667644284	0	Yes	*62.3070	*63.3148
63.947148762784	0.00467879625931644	2.08333333333333	0.00224582220447189	0.00224582220447189	28473.825147624	0	Yes	*62.9393	*63.9471
64.508708868892	0.00789481573425377	1.75	0.00451132327671644	0.00451132327671644	14299.2875730787	0	Yes	*63.5009	*64.5087
64.8113215935926	0.00471030446653013	2.08333333333333	0.00226094614393446	0.00226094614393446	28665.5751475836	0	Yes	*63.8035	*64.8113
65.0381572078121	0.096918838437503	16.3333333333333	0.0135894571387354	0.00498104795991594	13057.1232662674	1	Yes	*64.0303 (1)	*65.0382 (1)
65.0519362798605	0.00906055499356739	4	0.0033977044254101	0.00283142528408575	22974.9789427572	1	Yes	*64.0441 (1)	*65.0519 (1)
65.0591316237528	0.00453052890520667	2	0.00226526445260333	0.00226526445260333	28720.3251474609	0	Yes	*64.0513	*65.0591
65.9142287752622	0.00598526900114749	1.75	0.00342015371494142	0.00342015371494142	19272.3000978894	0	Yes	*64.9064	*65.9142
65.9240757534618	0.00437051765762389	2.08333333333394	0.00228027008223819	0.00228027008223819	28910.6436412805	0	Yes	*64.9162	*65.9241
66.0445171668844	0.0412723557488412	9.58333333333333	0.0102704879026874	0.00355335721832262	18586.5121655461	1	No	65.0367 (1)	66.0445 (1)
66.0574121197843	0.0154075878394089	2	0.00798912345454994	0.00798912345454994	8268.41799298563	1	No	65.0496 (1)	66.0574 (1)
66.8553118284068	0.0208583107769205	3.83333333333303	0.0068889623460251	0.00552213126348988	12106.795119201	2	Yes	*131.6950 (2)	*66.8553 (2)
67.053674574211	1.11216485185458	172.416666666667	0.0206979433673666	0.00532798136468671	12585.1931500053	1	Yes	*66.0458 (1)	*67.0537 (1)
67.3458125932745	0.00864277686738468	2	0.0046094809959385	0.0046094809959385	14610.2809953255	0	Yes	*66.3380	*67.3458
67.3561533021968	0.00220887026593224	2.08333333333212	0.0011524540517911	0.0011524540517911	58445.8471012486	2	No	132.6966 (2)	67.3562 (2)
67.4034735054748	0.00605250595432594	1.75	0.00345857483104339	0.00345857483104339	19488.8000977964	0	Yes	*66.3956	*67.4035
67.4478658580581	0.00403633249033675	1.75	0.00230647570876386	0.00230647570876386	29242.8251473788	0	Yes	*66.4400	*67.4479
67.470438260726	0.0121111714140199	3.5	0.00461377958629328	0.00461377958629328	14623.6804335363	0	Yes	*66.4626	*67.4704
67.6319327034254	0.00606275454310179	1.75	0.00346443116748674	0.00346443116748674	19521.800097558	0	Yes	*66.6241	*67.6319
68.0135569942313	0.0120631657225682	2.08333333333333	0.00579031954683273	0.00579031954683273	11746.0800641709	0	Yes	*67.0057	*68.0136
68.023979937162	0.00241281800364609	2.08333333333333	0.00115815264175012	0.00115815264175012	58734.9002929085	0	Yes	*67.0161	*68.0240
68.0599974743832	0.0599994666573262	8	0.0150603420879634	0.010518895000331	6470.26113220463	1	No	67.0522 (1)	68.0600 (1)
68.4305180398028	0.00406562896100127	1.75	0.00232321654914358	0.00232321654914358	29455.0751478715	0	Yes	*67.4227	*68.4305
68.5312102512432	0.0106075474224046	4.08333333333576	0.00348741285120013	0.00341766459416704	20052.0584636088	3	Yes	*202.5701 (3)	*68.5312 (3)
68.863577443698	0.00611772424610635	1.75	0.00349584242634648	0.00349584242634648	19698.7075060095	3	No	203.5672 (3)	68.8636 (3)
69.0323962774293	0.0806491388721041	26.1666666666667	0.011667251745763	0.00163770212692782	42151.9854815893	0	Yes	*68.0246	*69.0324
69.0691083175246	0.622658418639842	107.5	0.0315102311195119	0.00311522927269436	22171.4366011291	0	Yes	*68.0613	*69.0691
69.4167668133008	0.0081896438213569	1.75	0.0046797964693468	0.0046797964693468	14833.287573079	0	Yes	*68.4089	*69.4168
69.4524548483502	0.00204793718759788	1.75	0.0011702498214845	0.0011702498214845	59348.400293065	0	Yes	*68.4446	*69.4525
69.9086512240413	0.00714234896623982	2.08333333333333	0.00352225509506354	0.00352225509506354	19847.6968127659	0	Yes	*68.9008	*69.9087
70.0412115790546	0.0544508767589806	8.16666666666667	0.0129271902747092	0.00655762309480679	10680.8839981247	0	Yes	*69.0334	*70.0412
70.0543688561442	0.0130753669243359	4.08333333333333	0.00470124998450672	0.00345543323156505	20273.6861520588	1	Yes	*69.0465 (1)	*70.0544 (1)
70.0766412498887	0.00342852676380878	4.08333333334303	0.00117549489044677	0.00102855802914803	68130.9554385903	0	Yes	*69.0688	*70.0766
70.0828883188108	0.00881661836841907	2	0.00470219646315684	0.00470219646315684	14904.2875745265	0	Yes	*69.0751	*70.0829
71.0486147902971	0.0693893327733126	12.1666666666667	0.0106524807543167	0.0059891089229609	11862.969216992	0	Yes	*70.0408	*71.0486
71.0578470614574	0.00710218623038372	2	0.00355109311519186	0.00355109311519186	20010.1334311585	1	No	70.0500 (1)	71.0578 (1)
71.0846542826222	0.339194887671546	63.6666666666667	0.0142072710515748	0.00487791277393512	14572.7604360741	1	Yes	*70.0768 (1)	*71.0847 (1)
71.0967742185765	0.0321661766189359	8.08333333333333	0.00592016458121236	0.00468776895174017	15166.4416379106	0	Yes	*70.0889	*71.0968
71.2301512509039	0.0113574697872463	2.08333333333348	0.00592563641073696	0.00592563641073696	12020.6753019538	0	Yes	*70.2223	*71.2302
71.3534865082704	0.00415155147240753	1.75	0.00237231512709002	0.00237231512709002	30077.5751473606	0	Yes	*70.3457	*71.3535
