Mass/Charge	Area	Height	Width	Width at 50%	Resolution	Charge	Monoisotopic	Mass (charge)	Mass/charge (charge)
39.0223608750387	0.00566199389075883	4.1818181818162	0.00175442064220732	0.00175442064220732	22242.3060560566	0	Yes	*38.0145	*39.0224
39.0307722622531	0.00398776781399849	2.27272727272727	0.00175461783815933	0.00175461783815933	22244.6001707118	0	Yes	*38.0229	*39.0308
39.3890943166847	0.0100150771151129	2.27272727272727	0.00440663393064966	0.00440663393064966	8938.59007500486	0	Yes	*38.3813	*39.3891
41.0394124879533	0.0406863797634111	15.3636363636364	0.00629724794121955	0.00247278459218592	16596.4365103371	0	Yes	*40.0316	*41.0394
43.0182476982042	0.0144016936820423	6.36363636363636	0.00368414846529674	0.00209061987378334	20576.7907584056	0	Yes	*42.0104	*43.0182
43.0546318130513	0.0529403612445019	13.5454545454545	0.00737145206549172	0.002996950914401	14366.14513977	0	Yes	*42.0468	*43.0546
43.0606531499273	0.0146604709436524	2.27272727272727	0.00645060721520707	0.00645060721520707	6675.44181707629	0	Yes	*42.0528	*43.0607
44.0251310779362	0.0053363851332148	1.90909090909091	0.00279524935549347	0.00279524935549347	15749.9834465266	0	Yes	*43.0173	*44.0251
45.0339895010301	0.00681074681406204	4.18181818182347	0.00282710635783445	0.0023559170349543	19115.269694505	0	Yes	*44.0262	*45.0340
48.2485559621542	0.00186216320877267	1.90909090909091	0.000975418823642826	0.000975418823642826	49464.4503393566	0	Yes	*47.2407	*48.2486
54.0573714028309	0.00234651728614275	2.27272727272727	0.00103246760590281	0.00103246760590281	52357.4503391437	0	Yes	*53.0495	*54.0574
55.0173233019153	0.06775320242398	9	0.0135412838157833	0.0104370578021715	5271.34412252353	0	Yes	*54.0095	*55.0173
55.0542175768694	0.032253317456525	9	0.00833574015825178	0.00280170355514286	19650.2650952528	0	Yes	*54.0464	*55.0542
56.0255856539565	0.0484935530380204	13.0909090909091	0.00630652698896483	0.00384788953415693	14560.0816126941	0	Yes	*55.0178	*56.0256
56.0341915002897	0.00926946521791927	2.27272727272748	0.00420470627863523	0.00420470627863523	13326.5412105022	0	Yes	*55.0264	*56.0342
57.0339182070845	0.115692411070202	17.8181818181818	0.011665705994794	0.00773731730569693	7371.27817739759	0	Yes	*56.0261	*57.0339
57.0463107636122	0.00241051632852354	2.27272727272727	0.00106062718455036	0.00106062718455036	53785.4503397408	0	Yes	*56.0385	*57.0463
57.0698746114681	0.122094156802788	31.3636363636364	0.0106085888977816	0.00379132111726221	15052.7673194507	0	Yes	*56.0620	*57.0699
57.0802467744924	0.0200134021861575	6.63636363636364	0.00530476278922265	0.00240383356320706	23745.5070301702	0	Yes	*56.0724	*57.0802
60.0216667125062	0.0155773340771804	3.81818181818182	0.00652766250378534	0.00489572469329858	12260.0167437245	0	Yes	*59.0138	*60.0217
61.0284561981211	0.00683144081713764	8.27272727273521	0.00109701969326181	0.00109701969326181	55631.1400542526	0	Yes	*60.0206	*61.0285
64.3850834026825	0.00768263467324201	2.27272727272727	0.00338035925622648	0.00338035925622648	19046.8167796331	0	Yes	*63.3773	*64.3851
65.0396560052671	0.0244001915131149	4.45454545454545	0.00906000136623675	0.00580399127548503	11206.0223591276	0	Yes	*64.0318	*65.0397
66.0474465382917	0.0368308042010381	9	0.00684741570258041	0.0028106969515278	23498.6011218287	0	Yes	*65.0396	*66.0474
67.0540332321892	0.284917441587705	43.6363636363636	0.0172490583120322	0.00515995483426934	12995.0814272358	1	Yes	*66.0462 (1)	*67.0540 (1)
67.6341580720105	0.0131234899889421	2.27272727272727	0.00577433559513452	0.00577433559513452	11712.8900732752	0	Yes	*66.6263	*67.6342
68.024410982476	0.00463277830495627	2.27272727272793	0.00231638960065084	0.00231638960065084	29366.5672490341	0	Yes	*67.0166	*68.0244
68.0598962488582	0.0240125808591932	4.54545454544132	0.0069510027241364	0.00676563870757718	10059.6409578647	1	No	67.0521 (1)	68.0599 (1)
69.032464061293	0.0437000018916879	8.72727272727273	0.00933402482920087	0.00485365189437914	14222.7884412636	1	Yes	*68.0246 (1)	*69.0325 (1)
69.0710166253744	0.0576638381677488	15.7272727272727	0.00700241170277138	0.00448853959038331	15388.3050900028	1	Yes	*68.0632 (1)	*69.0710 (1)
69.0843944404282	0.018569118342494	2.27272727272727	0.00817041207069735	0.00817041207069735	8455.43576537526	0	Yes	*68.0766	*69.0844
70.0401261396446	0.0185902143623389	4.18181818181818	0.00822673122800666	0.00225642712969432	31040.278331139	1	No	69.0323 (1)	70.0401 (1)
70.0781809427231	0.00448845616068638	1.90909090909091	0.00235109608416906	0.00235109608416906	29806.6001702736	1	No	69.0704 (1)	70.0782 (1)
