Mass/Charge	Area	Height	Width	Width at 50%	Resolution	Charge	Monoisotopic	Mass (charge)	Mass/charge (charge)
43.0533714145928	0.0126814068319997	2.42105263157895	0.00737121059601265	0.0065419607419841	6581.11124670785	0	Yes	*42.0455	*43.0534
55.0536763181817	0.0167528708270847	3.68421052631579	0.00833535830742704	0.00470652685865502	11697.3041844946	0	Yes	*54.0458	*55.0537
57.0705170772509	0.027665076124426	7.31578947368421	0.00742577319522297	0.00455486349162726	12529.5779296477	0	Yes	*56.0627	*57.0705
65.0383516064424	0.00625833961125378	2.5789473684199	0.00339738436039738	0.00297271131535126	21878.4620190263	0	Yes	*64.0305	*65.0384
67.0538795838956	0.107693917804975	19.1578947368421	0.0149482174941653	0.00378677249757686	17707.3958435061	1	Yes	*66.0460 (1)	*67.0539 (1)
69.0691112666191	0.0736760511982498	15.2105263157895	0.00816919386384996	0.00649752486249611	10630.0649444665	0	Yes	*68.0613	*69.0691
69.0796893631095	0.0238642522783243	6.42105263157895	0.00583553284090499	0.00436247105368182	15834.990883162	0	Yes	*68.0719	*69.0797
71.0500497450346	0.0115872847062322	2.21052631578947	0.00828555175914403	0.00828555175912982	8575.17420813222	0	Yes	*70.0422	*71.0500
71.0848514072121	0.037605430250894	5.21052631578947	0.0130232978387852	0.00880097077931907	8076.93300996415	0	Yes	*70.0770	*71.0849
74.0361348198729	0.0126866894589855	2.21052631578947	0.0084578111342779	0.00724952775290433	10212.5458848285	0	Yes	*73.0283	*74.0361
77.0386993660824	0.0223148746948811	5.89473684210526	0.0086275169850154	0.00304938297657031	25263.7008726037	0	Yes	*76.0309	*77.0387
79.0533661630863	0.090945118786881	18.8421052631579	0.0124852850325823	0.00419266312884758	18855.1676425326	1	Yes	*78.0455 (1)	*79.0534 (1)
79.0651236446808	0.0166265136444673	3.78947368421053	0.00998909563280392	0.00189285051810373	41770.4001919226	0	Yes	*78.0573	*79.0651
80.0602476175693	0.0353788896445745	6.26315789473684	0.0138209537880272	0.0063367033124706	12634.3689564905	1	No	79.0524 (1)	80.0602 (1)
81.0688500326824	0.127298919082517	25.5789473684211	0.0151721112957119	0.00375375678343914	21596.7242178137	1	Yes	*80.0610 (1)	*81.0689 (1)
81.0809331651709	0.0272851845230573	7.63157894736842	0.00758664719791113	0.00348681880073798	23253.5551167759	1	Yes	*80.0731 (1)	*81.0809 (1)
82.0747747071681	0.0337120249838073	5.10526315789474	0.0152658128239693	0.00609283271087691	13470.7087165956	1	No	81.0669 (1)	82.0748 (1)
82.0877580755172	0.00726526173722734	2.57894736842718	0.00508903807804018	0.00124679983612452	65838.7623234486	1	No	81.0799 (1)	82.0878 (1)
83.0490903432145	0.0128978840333865	4.78947368421053	0.00639844201120354	0.00166358851446091	49921.6540756935	0	Yes	*82.0413	*83.0491
83.0852005368393	0.176906246933373	25.4210526315789	0.0191999105465186	0.00535468337022849	15516.3610604475	1	Yes	*82.0774 (1)	*83.0852 (1)
84.0559523099542	0.0205307984876323	2.42105263157895	0.0128741306000535	0.011277707250656	7453.28376076305	1	Yes	*83.0481 (1)	*84.0560 (1)
84.0892181645071	0.008810448959993	3.52631578946603	0.00643842093556657	0.000937755645750826	89670.713842709	1	No	83.0814 (1)	84.0892 (1)
85.0640413153513	0.00501005628615404	2.21052631578641	0.00388535399829948	0.00388535399829948	21893.5112096817	1	No	84.0562 (1)	85.0640 (1)
85.099484001692	0.0730531017867271	10.0526315789474	0.0168402508987811	0.00528493846829292	16102.2658091949	1	Yes	*84.0917 (1)	*85.0995 (1)
